,user_review
53,"A team of super-villains can shorten their jail sentences by going on missions as the titular Suicide Squad. They're not expected to return, and they definitely won't if they stray from the mission, or disobey direct orders, and have their implanted explosives detonated.It's the kind of ridiculous, contrived concept that we don't expect to work outside of a comic book. Not even in an adaptation. And yet, it does, incredibly well. You'll be surprised by how much you care about some of the members. Others are deliciously despicable, and we hate their guts. The level of interpersonal conflict is fun, and yet you can believe that someone would intentionally put all these people together. The action is tremendously enjoyable. No two characters are overly similar, no one disappears into the background, everyone does at least one major memorable thing, and like in Birds of Prey, Harley Quinn(Robbie, continuing to prove she's the perfect choice, she completely understands what makes Harleen tick) is given great scenes, dialogue, depth.James Gunn brings all of his strengths to this. He handles the ensemble cast without getting bogged down in their introductions: instead, he uses an impactful, if short one for each, giving them something quick yet defining to do early after we meet them, and, of course, utilising, without abusing, the useful narrative shortcut of exposition. This is emotional, if not as much as the two Guardians of the Galaxy movies. The use of music fits and is effective, not on the nose boring choices that play only very briefly, and are followed up maybe a minute later with another cue. While I have to admit that this is the first R-rated picture of his that I watched, I would definitely say that he should get to do more of these in the future. It still doesn't feel like he's awkwardly constrained when he works with a PG-13, but he really knows how to use the freedom here. We do get ridiculous amounts of violence(and swearing. It is thankfully nearly completely devoid of gratuitous sexuality and nudity, that would only distract. Of course I wouldn't be against it if it served a purpose; there is no time in this when that would have been the case, though) that is expected from this kind of thing, yes, meanwhile, We also get some legitimately powerful, disturbing material. Of course not every film has to ""have something to say""; however, it can be extremely gratifying when we see one that does(and does it well), and this is one of those instances.I recommend this to anyone who finds the trailers appealing. They give you an excellent idea of what to expect. 8/10."
54,"Finding the 2016 one (-also reviewed) to be a jumbled mess, I was hesitant to take a look at the new version, until I began to notice a large number of reviews stating surprise at how good the movie was,which led to me and a pal going to meet the new squad.View on the film:Wiping the slate clean with a blazing pre-credits opening, writer/directing auteur James Gunn reunites with cinematographer Henry Braham, and lays out an expansion of his recurring themes and motifs across the galaxy in a distinctive elaborate colour palette that shines in close-ups on the unconventional group of anti-heroes.Keeping to practical effects as much as possible,the screenplay by Gunn uses the Men on a Mission set-up to unleash a live-wire genre mash-up,that goes right back to his Comedy Horror roots, via zombies,sharks and tentacle Monster Movie, that are combined with Gunn's tongue in cheek zinger dialogue looped round each Squad member, whose bond starts to crack with betrayal as they take on the main part of the mission.Backed by a criss-cross of John Murphy's jaunty score and James Gunn's spot-on song choices, the ensemble cast give outstanding performances, with Margot Robbie and John Cena giving wicked pitch black comedic turns as Quinn and Peacemaker as Gunn fires stylish long tracking shots following the gloriously gory, thrilling Action set-piece carnage they leave behind.Perfectly balancing the comedic line from Robbie and Cena, Idris Elba brings a gravitas to the level-headed Bloodsport,whilst Daniela Melchior captures the deeply flawed, but well meaning optimistic heart of the group as Ratcatcher 2,a piper who leads the Squad to victory."
55,"Okay so cruella was actually kind of amazing. The cinematography and costuming were breathtakingly beautiful. The storyline took a few weird turns, but for the most part really worked. The characters were well cast and well acted. The Emma's slayed being maniacally deranged."
56,"Ah the name puns. You gotta have them, right? The answer is obviously yes. So a bad or rather evil character as we know her ... or knew her? - is now back with an origin story. I have to admit, I have some issues with the movie overall or rather the morality is serves. Not to mention the kind of making away of what she becomes ... or making it ok, because of what happened to her.If you are able to leave those thoughts to the side and not be clouded by them, you may be able to enjoy this more. The story is quite straightforward - you have the evil Emma and the good Emma - which will become Evil. Sorry I can't just put this to the side. Obvious name choices to the side (and convenient happenings/accidents too), the actors do a fantastic job. The movie is quite dark for a family entertainment entry, but so was the 101 Dalmatians ... to a point.If you love those involved, you will get more out of it too. If you love dresses, you will have the time of your life - no pun intended."
57,"And pretty malificent. Its the best live action disney movie made for ages. I cant find anything that drags this movie down from the throne of heavenly made movies for the silver screen. Having raised three children with all the animated dalmatian film on autorepeat x 1000, i thought i knew the story about the real cruella, but now shes my new favourite.Extremely good roleplay by emma and emma, horace and jasper where a delight, and the whole ensemble delivers for over 140 minutes. The production design, the filmographic artwork and supersharp editing left both me and my wife drop our jaws so no we smack gobs at eachother, dribbling snot and tears over the pityful story about cruella deville.Do i recommend this film... YES...and do watch it in the cinema its just too extravagant for your flatscreen and 10 watts sound surround system.imax here comes the grumpy old man.P.s. I forgot to mention the soundtracks chosen int making this a smooth ride of silverscreen passion, and the original score mustve been inspired by the sound of a DeVil. Im stunned and far over the limit on heartrate right now,'' så løp og kjøp'' as we say in norwegian commercials..."
58,I give all Disney remakes a fair opportunity to entertain me without judging before hand.After sitting through a time waster. This movie was a huge mutty stinker. A major time waster. Full of nothing.Last words: another reason to cancel my Disney Minus account.
59,"I repeatedly go back to these disney live action movies because i love maleficent so much. But they keep failing me. To be fair, a movie centered around female fashion is likely to have a low success rate in my book. But this movie didn't really do much for me. And there were a bunch of stupid parts. I had trouble getting through it.The best parts of this movie were emma stone and paul walter hauser. He is always likeable and continues to impress me (1 viewing, 6/1/2021)"
60,"Infinite is apparently based upon a series novels and now adapted into a big budget film. With a relatively interesting premise and concept, the end result isn't great. This film lacks suspense, mystery and good writing. Mark Wahlberg doesn't seem to fit the character.This feels like a film which takes parts from other past greater films. And what we have is something quite confusing and not that engaging or entertaining. Quite disappointing.The signs that this film wasn't going to be anything special was it being rescheduled from a theatrical release to a straight to streaming release (and only a few months notice in advance). It was set up for a sequel and to kick start a franchise, though due to the struggles and criticism of this film, we highly doubt a sequel will be made."
61,"I had low expectations for this movie, but it didn't even meet them. I suppose there were worse action movies out there, but just not worth the time."
62,"I stumbled upon the 2021 movie ""Infinite"" and actually hadn't even heard about it prior to getting to sit down to watch it. Weird, I know, right?But I must admit that the movie's synopsis sounded interesting enough, and usually Mark Wahlberg tends to provide adequate entertainment, so of course I gave ""Infinite"" a watch.And I will say that writers Ian Shorr and Todd Stein definitely managed to churn out a story that provided with solid entertainment for the course of the movie. And it was a storyline that actually had a lot of interesting aspects to it. So yeah, I was definitely well entertained while watching ""Infinite"".This movie is driven by a good combination of action and storytelling. Sure, this wasn't a tongue in cheek narrative that required all that much attention from the viewers, but the writers managed to make the storyline deep enough to actually involve the audience a bit more than just popcorn munching.And yeah, the storyline does come off as being rather predictable, which it also is at times.There were some moments in the movie where the laws of physics were simply and blatantly just disregarded, which made me curl my toes. But it was just a minor thing, because the movie proved to be entertaining.Sure, this is essentially your average run-of-the-mill action movie with Mark Wahlberg, and a lot of things could be said for his acting. But I was entertained for the action ride that it was.I am rating ""Infinite"" a six out of ten stars. The movie is worth a watch, as it combines action and story well enough."
63,"It's literally a Mark Wahlberg movie. It should be such a genre, Drama, Comedy, Adventure, Mark Wahlberg, History, Action... You get what you expect from a Wahlberg movie."
64,"Infinite takes style over substance to a new level.I heard about this movie a week ago when a coworker told me the trailer was hot. I'll say this about the Antoine Fuqua flick, he took a four-to-five-minute trailer and extended into a full movie. That's actually impressive that he was able to keep up the energy for the entire movie.Of course, that does make for one problem. The action is hot, the visuals are stunning and the style is wild, but then there is that slow moment in the film when Markie Mark's character is explained. He's a special human being that gets reincarnated over and over again but is fully aware of his past lives. He's not the only one and a collective of these people have taken two sides: one good, one evil.It's around here that I realize this movie is missing something. That sounds strange to say considering John Wick is one of the best action movies I've ever seen with a plot so cliché, it literally pokes fun of itself. It worked for Wick but it does not click here.The unclicking plot reminds me of the Old Guard (Both stories about a form of immortality). I hate to say that I like this movie more. Like I said, it's got the style, it's also got the action and the combination makes for a flick that looks like I would have blindly paid 25 bucks to see this on an IMAX screen (I never got that feeling from the Old Guard).It's too bad Charlize Theron did not get cast in this one instead. Markie Mark felt utterly useless in this flick. I don't think I've seen Wahlberg be so dull. Old age must be catching up with him. He did not even make me laugh. Realistically, you could have replaced him with a wooden board and it would not affect this movie.Chiwetel Ejiofor was the only notable performance in the film. Somehow his bad guy got through all the fluff and was able to shine.I was hoping to get the same shine out of Jason Mantzoukas who's usually good for one laugh as the comedy relief, but all his jokes were swing and miss.Well, I don't want to say too many bad things about the movie, but I feel this goes into the vault of Ninja Assassin for me. It's an action movie I'll tell people was good, but whenever I see it every few years, I watch it like I never saw it cause I always forget why I like it. A little unfair comparison for Ninja Assassin, but I see Infinite going down this road.I enjoyed it while I enjoyed but its forgettable."
65,"Bear with me for a second. I am going to compare this to another movie. And the comparison will be ... not the strongest for most I reckon. The movie I am talking about is Unforgiven. Now obviously the main character couldn't be more different. Young vs old, experienced vs no experience at all.Why I do like and see a connection you ask? Because both are a takedown, a dismantling of what we know, of what movies and other sources may have told us. Whereas it was about the cowboy myth in Unforgiven, which I have to rewatch asap, or the impression(s) we have of Knights in this.Having said that, it doesn't mean the director here was thinking of the Clint Eastwood classic, but just had it as a general idea too. I also should note that I have not seen the ""other versions of"" this movie, as they are referred to here on imdb. So there are a few other movies that are based on the same story I reckon.Now onto this, that has so many things working for it. Set design, costume design, cinematography and most of all: sound and music design. And this is not about it being loud (which it is at times), it is about how careful it is designed to draw you in ... to give you every little thump, every little crack, every small but also big sound that the enviroment is able to provide. Exceptional would not even begin to cover it. I usually am not so aware of that department, but if this does not at least get nominated for an Oscar ... well something is wrong I'd say.The acting is amazing as well. But be wary, because the pacing will not be to everyone's liking. I went into this without any knowledge - except having seen the poster (knew Dev Patel was starring) and therefor knowing the title. Which is always helpful when ordering a ticket at your local cinema.Apart from the pacing, the movie may have beautiful cinematography as mentioned, but it is not afraid of the dark (no pun intended). It really relishes in it at times. So much so, that you may even curse because you can't make out much. It almost feels like this was shot with natural light only. I imagine they used film lights too, but especially those dark passages will have you believe otherwise. I have not checked, might do when the movie comes out on disc.So all in all this is far removed from any popcorn version of heroes and knights ... but if you can dig that and how the movie handles many things - you are in for a ride (again no pun intended). If you liked it, stick with the movie and the credits for an additional scene - which will not mean anything to you if you didn't like the movie in the first place."
66,"As most artisanal movies go, the visually were breathtaking, with this aura hanging over ever scene. However, the storyline plot and dialogue were downright nonsensical, what the hell were even half those scenes about? I have no idea. Made no sense, I got lost and bored ten minutes in."
67,"This film; inspired the fourteenth century poem 'Sir Gawain and the Green Knight'. Shortly after the story begins a mysterious knight clad in green armour enters the king's court on Christmas day and challenges any knight to strike him... on condition that one year later that knight will find the knight in his green chapel and suffer an identical blow. Sir Gawain accepts the challenge and decapitates the knight; to his surprise the knight picks up his head and leaves. A year later Gawain heads out seeking the knight; the journey will be long and arduous; along the way he will meet various people; some friendly, others less so.I rather enjoyed this film; the story is suitably mystical with a strange feel to much of it. The film impressively captures the quest as Gawain travels though bleak landscapes encountering various characters. The Irish locations used are stunning in their rugged beauty. The cast does a solid job; most obviously Dev Patel in the role of Sir Gawain. Alicia Vikander is also notable in the dual roles of Essel, a woman Gawain loves, and the lady he meets in a castle shortly before his arrival at the Green Chapel. There are some ambiguous moments, including the ending that may irritate some viewers but I enjoyed them... not every film has to have everything explained. Overall an impressive film that is well worth watching. I watched it on television but imagine it looked even better on the big screen."
68,"""The Green Knight"" is a new movie in fact that just hit cinemas here and it is a co-production between Ireland, the United States, Canada and the United Kingdom and with this quartet nobody can really be surprised that it from beginning to end in the English language, even if thick accents are very frequent here. But let's take a look at the basics first: The writer and director is American filmmaker David Lowery, who has really received many accolades and awards now over the years and he launched his career as an editor, so it should not really surprise anybody that he also worked as an editor on this film here and on many other not too long ago, even if he has progressed to being the man in charge of the entire project as well. The title character is played by Dev Patel, who had his breakthrough with Slumdog Millionaire over a decade ago now, a film that won Best Picture at the Academy Awards. Since then, he has also managed to score Oscar nominations himself and it is also kinda funny to compare his bearded self in 2021 with the boy he was back then briefly before the 2010s. He is in almost every scene from this movie from beginning to end and the only lead. Here and there, he is joined by the stunning Oscar-winning actress Alicia Vikander. Joel Edgerton is also always easy to identify and I kinda like the screen presence he has and the energy he usually brings to his roles. When he comments on the main character's language, there is also a really rare moment of comedy here almost. Not a funny movie. Does not aspire to be such. Back to the cast, there are other familiar faces like Barry Keoghan who you could recognize if you saw his Yorgos Lanthimos movie. He is easy to identify really, seemed to be a bit of a clumsy friend in his first scene, there to maybe to get in some comic relief, but turned out he is something else entirely.Keoghan is by the way an actor who originates from Ireland and this is why he also fit very nicely in this film. This is a really Irish movie, not only because of the strong presence of the color green, but also because of the names of locations and characters. Even Dev Patel, who is really everything but Irish, plays a character named Gawain. Enough said. By the way, he is not the title character, is he? I'm not sure. There is constantly talk about him (not) being a knight, but I kept thinking it's maybe the one who shows up initially to submit this challenge. That character, who we also see in the end again luckily, was almost more memorable to me than Patel's. He looked so amazing visually and everything fit there and I would immediately watch a film about this character. Great voice as well. Or how they show us the method through which the queen reads this very special letter at the beginning. And how it exhausts her right away when she is finished as if some evil spirit possessed her. You can discuss if this tree-like creature is evil. At least he has red blood as we see when he is decapitated. Or seemed to have been decapitated initially. And of course he did not feel any fear. He knew he could stay alive, maybe thanks to his magical axe. That axe was also a really nice inclusion. I mean look at tiny little plants coming out of the area around it when it is laid down. That was a really small moment, but great attention to detail and memorable as a consequence. Also, you must understand that this is not a superhero movie, evven if it is a fantasy movie. It may come easy to think of The Green Hornet, Green Lantern, Green Arrow... when reading the title, but it turns out something completely different. But still good.There are not too many flaws for me with this film, even if it also did not reach greatness for me overall. Or too rarely. I struggled a bit for example with how quickly the main character has a bit of a falling-out with Edgerton's character or also with the fox immediately afterwards who seemed like a loyal companion before that. That came a bit surprising for sure, but maybe also indicates how nothing is safe in terms of belonging and friendship when the adventure continues. Probably our hero here was a bit of a loner. Maybe also that is why he did not really have too much to lose when accepting the strange visitor's proposal and he was the only one who did. I just mentioned the fox. That one I have to go with again. I liked the scene in which he was introduced in a way with this woman who was actually a spirit. Also I really liked the way the fox was animated. Incredibly cute. I want that one in my life. But this animal also symbolized in a way that the protagonist did not want to be 100% alone as we see when he allows the fox (never know if I should say ""he"", ""she"" or ""it"", but one thing is safe: I won't say ""they"") to enter. Other highlights from this film except the little fox was the scene in which the ruthless fighter introduced himself and came to visit the king and bring him this letter. You could see that he was not scared at all because he knew he would get out there alive 100%. His laughter actually sounded on the evil side. The king asking the male protagonist before that to come sit with him did feel a bit random though, even if he was his nephew. The connection with the young man's mother and how she is potentially a witch. Well, that I was not too big on or added very little from me.Then there is the color green. Many beautiful shots including this. One I remember in particular is towards the end when out hero(?) is there and sees the creature he has been looking for. We see this shot in two different shades of green basically. Also Vikander's speech on the significance of the color green in nature, but also how men see it and react to it, was a true highlight. Vikander turned that monologue into something truly memorable and haunting. Big thumbs-up to her and that powerful scene alone proved that she is among the finest actresses from her generation as of now without a doubt. As I am getting closer to the end of this review, let me say a few words about the ending. It seemed like a lightning-speed fast-forward look at the coming decades when the protagonist returns and becomes kking, but his cowardice always haunts him and eventually also has him lose his head. So he will be headless no matter what. Then we see it was really just a what-if, a premonition you could say. There Lowery also toys a bit with the audience. When the forest creature compliments the boy that he finally understood and made the right choice, you could think that the crucial blow would be nothing devastating or murderous, but it probably is. We do not know 100% because this is where the film ends. With how he goes for him before that, I cannot imagine though that he let him live. By the way, I also liked there how the forest creature basically sits on his throne this calmly when Patel's character shows up. He has all the time in the world really and now all his focus is on resting, maybe sleeping. And the ""aye"" as an answer to this crucial question instead of a ""yes"" I appreciated too.So yeah, all in all a pretty good movie. I see critics liked these over two hours much more than general audiences apparently. I am not sure if I am surprised or not. I think this film has the potential for an even higher rating on rewatch and it feels like a very rewatchable movie that offers a great deal of quality even if you know the ending. Maybe especially if you know the ending. Perhaps then also some scenes will become bit clearer like what happened with the thieves in the forest (or their leader I should say) after they stole the axe. Or what was the meaning of the skeleton. We will see. But there is not the flightest doubt for my positive recommendation this time. It gets a thumbs-up for sure and I suggest you check this one out and as I am not always big on fantasy films, this mans something. Well done to Lowery and everybody else involved with the production and shooting of this one here. It also felt shorter to me which is always a good sign, especially when a movie crosses not only the 100-minute mark, but even the 120-minute mark. And pretty comfortably in fact. It's closer to two hours and fifteen minutes. A success from every perspective, no matter which one you look at: sound effects, direction, story, acting, visual effects, make-up, costumes, cinematography. I think it could score several Oscar nominations next year. And deservedly so. If I am not mistaken, it wasn't eligible yet for the 2021 Academy Awards."
69,"4/10 - the occasional pretty shot cannot save this uneventful, anticlimactic, and loose adaptation of a great Arthurian legend that isn't the masterclass in cinema that fellow viewers and critics claim it is."
70,"The imdb description reads ""A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path."" This is completely accurate, and yet is a superficial description. Yes, this is a movie about a woman attempting to create justice where none exists, but it's also about a deeply traumatized woman desperately doing things to give her a sense of control. This is why it's not a good criticism to say that what Cassie's doing doesn't make sense. It's true (like the IMDB description is true) but it's also the point. Cassie isn't Batman, and this isn't a cleverly thought-out system to make a better world. Cassie is broken but very smart and resourceful, and she is treating her inner wounds in an external way.The cast is very good, particularly Carey Mulligan as Cassie. The movie does a good job of keeping information from you and then dripping it out in order to create mystery and suspense then slow understanding. It's filmed stylishly. It's deeply disturbing, with a *very* dark view of human beings, and it leaves you with a lot to think about.It took me a while to watch this because I suspected it would be hard going and it is, in its own dark way, quite entertaining. Definitely worth watching."
71,"Carey Mulligan is Cassie. She had been a promising young medical student some 7 years earlier when something happened to her best friend, also a promising young medical student. Now approaching 30 Cassie works as a coffee barista and seems adrift. Until the old male nemesis from medical school comes back to town to get married.The writer-director says she wanted it to play as a very dark comedy, dealing with a very serious issue but with some humor in the scenes. Mulligan is great in the role and was nominated for Best Female Actor.My wife and I watched it at home on DVD from our public library, a very interesting and entertaining movie."
72,"I reckon it is or will be easy to dismiss what happens here for some. Unfortunately that does not make the things that are depict in here untrue. From a male perspective you may see different valid points throughout this ... you may feel that certain things do not apply to you. And maybe they don't - that doesn't mean that they don't exist. I know it feels like I'm repeating myself ... something the movie does avoid.Which is quite the feat, considering what it is about and how she goes on a hunt (prowl?) at nights ... I was not sure what she was doing and the movie did leave it upon a bit ... but it does clear up during the runtime. Now she is broken and we slowly get why that is. It is revealed in the right way, even while we do sort of know or feel that we know most of it.What is a nice touch, we never see anything in that regard. There is no sleaze, there is no (visible) exploitation going on. That does not mean it is easy to watch ... or listen to what is happening. I personally am not a fan of the term feminist, but this movie may change your mind regarding that or other things.There are borderline things happening and our main character is not perfect. That does not mean she does not deserve something good ... and it does look like she can have. If she can bring herself to let go ... on the other hand, there is more than meets the eye. Way more ... and the ending ... I'm not going to spoil it for you, but let's say I did not expect that at all.Very well told and truths that do hurt ... but are essential to be seen ... and learned from (hopefully)"
73,"What a gripping story! The ending is triumphant, and the journey to get there is very intense."
74,"A mostly different film in many ways, but my reaction to Promising Young Woman reminds me of the first time I saw Gone Girl and how I thought at first that I hated the ending but in fact, it's the perfect closer to an incredible ride of revenge from the lead character. Exquisitely directed by Emerald Fennell and led by the performance of a career in Carey Mulligan, PYW is a force to be reckoned with in 2020/2021. The wait was well worth it.9.5/10."
75,"I'm a fan of the original and I was intrigued to see this reboot, remake, re-imagining.I thought it was very clever to build on and incorporate the history of the first film whilst making a new story.A good fun film that builds on the canon of Candyman :)"
76,"I'm rly not sure why this film is so underrated. For me, it's way better than Don't breathe2 or Malignant."
77,"The direct sequel to Bernard Rose's 1992 cult classic of the same name attempts to carve its own identity in addition to serving as a follow-up chapter yet only manages to end up halfway on both fronts. As a sequel, it doesn't improve upon the original in any way, shape or form. And as its own thing, it's got many thoughts ongoing at once and needed to simmer down & spread them evenly to deliver the goods.Co-written & directed by Nia DaCosta, her intent, approach, tone & treatment is different from the first film, plus she also reworks the mythology to suit her own story. And though it isn't a complaint, the script is where the issue lies coz it doesn't have its priorities sorted out. It is crammed with too many ideas & themes and tries to cover them all in the limited runtime, thus resulting in an overstuffed & undercooked narrative.On the plus side, DaCosta's visual flair makes an instant impression, the camera manoeuvres through the polished set pieces with fluidity, and it sure doesn't hold back on its violent urges whenever the eponymous spirit is summoned. The actors do well with what they are given but would've done better if they had more material to work with. The film looks & sounds real fine but it is missing the immersive, alluring quality that its predecessor had in spades.Overall, Candyman does have a few interesting moments working in its favour but the film as a whole doesn't truly live up to its hype and is certainly no match to the original classic. It's a messy, convoluted take that lacks clarity & direction, comes off as preachy on few occasions, features subplots that go nowhere, and even ends abruptly. 90 mins isn't enough to cover all DaCosta wanted to cover here and so an extended runtime would've only benefitted her film."
78,"I'm rly not sure why this film is so underrated. For me, it's way better than Don't breathe2 or Malignant."
79,"Amateur night.The bad: this movie looks cheaply made and is cheap. Way below average acting performances, silly story, even sillier special effects, mediocre photography.Simply no thrill whatsoever.Not any good? I honestly cant think of any. It's not laughably bad, but it comes close...."
80,"When I sat down to watch the 2021 action crime movie titled ""Kate"" from writer Umair Aleem and director Cedric Nicolas-Troyan, I must admit that I had been told that the movie wasn't all that great. But still, I opted to sit down to watch it and rate the movie based on my own impressions of what I saw.And let me say that I am glad that I did, because ""Kate"" turned out to be a rather entertaining movie for me. There was just something dynamic about the storyline that worked out quite well, and I will say that there wasn't a dull moment throughout the course of the movie.The story told in ""Kate"", as written by Umair Aleem, was well-written and nicely paced. It was a storyline that was easy to follow and actually takes you on an adrenaline-filled thrill ride. So the writer managed to put together a very wholesome and entertaining storyline here.I was immediately submerged and drawn into the setting and the plot of ""Kate"", so the movie turned out to be rather enjoyable for me.Visually then ""Kate"" is a great movie, especially with the setting of the whole thing. And the whole chase and shootout scene in the back alleys was just amazing, it was like watching an intense shooter game.""Kate"" has a great cast ensemble that includes the likes of Mary Elizabeth Winstead (playing Kate),
Miku Patricia Martineau (playing Ani), Woody Harrelson (playing Varrick) and Jun Kunimura (playing Kijima). So you are in for a great treat in terms of cast. And the actors and actresses definitely performed well in the movie and brought their characters to life on the screen in a fulfilling manner.I was more than genuinely entertained by ""Kate"", and it feels like a good old fashioned action crime movie, one that you can watch more than just once.My rating of ""Kate"" lands on a seven out of ten stars."
81,"We have all these negative wanna be critics who wouldn't know a great movie if it was programmed into their small brain. I bet all the 1s and 2s are anti vaccine and dont wear masks. The theme of this film is so accurate, America is no longer a great country it's become a selfish all about me country. Other countries like chinaand japan deserve to be the new super powers we have shown we dont care and no longer deserve it. While we fight and become more divided they're becoming bigger, better and working for the greater good of their country. Greatest country ever, yeah right, in 1950."
82,"Why do I do it, why do I always think that the number one choice is going to be good, it never is, and there's a good example of it here.Kate has 24 hours to get revenge on those that poisoned her, that's literally the plot, that start is followed by the most improbable, crazy fight sequences you will ever see.It goes on a bit, it looks pretty good, I loved the visuals, but that's the best element, the story is wafer thin, it lacks any sort of heart.Good acting, Mary Elizabeth Winstead is cracking, I am a big fan, sadly Woody isn't around for much, and that's a real shame.All in all, another disappointing film on Netflix, 5/10."
83,"When I sat down to watch the 2021 action crime movie titled ""Kate"" from writer Umair Aleem and director Cedric Nicolas-Troyan, I must admit that I had been told that the movie wasn't all that great. But still, I opted to sit down to watch it and rate the movie based on my own impressions of what I saw.And let me say that I am glad that I did, because ""Kate"" turned out to be a rather entertaining movie for me. There was just something dynamic about the storyline that worked out quite well, and I will say that there wasn't a dull moment throughout the course of the movie.The story told in ""Kate"", as written by Umair Aleem, was well-written and nicely paced. It was a storyline that was easy to follow and actually takes you on an adrenaline-filled thrill ride. So the writer managed to put together a very wholesome and entertaining storyline here.I was immediately submerged and drawn into the setting and the plot of ""Kate"", so the movie turned out to be rather enjoyable for me.Visually then ""Kate"" is a great movie, especially with the setting of the whole thing. And the whole chase and shootout scene in the back alleys was just amazing, it was like watching an intense shooter game.""Kate"" has a great cast ensemble that includes the likes of Mary Elizabeth Winstead (playing Kate),
Miku Patricia Martineau (playing Ani), Woody Harrelson (playing Varrick) and Jun Kunimura (playing Kijima). So you are in for a great treat in terms of cast. And the actors and actresses definitely performed well in the movie and brought their characters to life on the screen in a fulfilling manner.I was more than genuinely entertained by ""Kate"", and it feels like a good old fashioned action crime movie, one that you can watch more than just once.My rating of ""Kate"" lands on a seven out of ten stars."
84,"Poisoned by a radioactive element, assassin Kate (Mary Elizabeth Winstead) has a day to find the person responsible for her agonising predicament and make them pay for their actions.Just recently, we've been treated to two female fronted action thrillers, each starring one of my favourite (ie., tastiest) actresses as a highly-trained killer: Gunpowder Milkshake with Karen Gillan, and Kate, featuring Mary Elizabeth Winstead, which borrows its basic structure from noir classic D. O. A. (1949), and injects it with hyper-violent action. Winstead is far more convincing than Gillan as a hard-as-nails contract killer, her action scenes executed with more aplomb, but the film as a whole is only marginally more successful, with director Cedric Nicolas-Troyan placing too much emphasis on style: EVERYTHING is drenched in neon, and characters are prone to introspective rambling, thereby allowing the pace to grind to a halt between fight scenes. There's also an incredibly bad CGI car chase, and an annoying teenage sidekick (Miku Patricia Martineau), while the usually scrummy Winstead looks absolutely awful for most of the film, her character visibly suffering the effects of the Polonium-204 with which she has been poisoned (to make herself look worse, Kate also hacks off her hair for no reason).Of course, despite the sickness that is eating away at her body, Kate is still able to defeat numerous male opponents in a fist-fight and also bests everyone when it comes to a gunfight. The action is hard-hitting, occasionally insanely gory, and totally improbable, but that's precisely the reason why most will choose to watch the film and they will get what they came for: fast, furious John Wick inspired mayhem that pushes plausibility to the limits. It's just a shame that there wasn't a bit more of the ballistic craziness and a little less of the dull soul searching from our heroine.5.5/10, rounded up to 6 for IMDb."
85,"The guy who won't shut up about family has a long lost brother he's never mentioned ?Put your brain into fridge and enjoy ;)
I know they did terrible movie, terrible mistakes, insulting to Physics and etc, but it was kind of fun although :)))5 / 10."
86,The gang receives a transmission with Mr. Nobody. He had captured Cipher but the plane has crashed. Dominic Toretto (Vin Diesel) is reluctant to go on another mission and risk his family but Letty (Michelle Rodriguez) convinces him. There is a MacGuffin and Dom's newly revealed brother Jakob (John Cena). Family...The full title is Leprechaun 4: In Space. It's a bit of an insult to tag your movie In Space. Leprechaun is a campy horror-comedy franchise and its self-mocking humor uses the insult to its advantage. F&F has been approaching that line over the years and it may be a moment of jumping the shark. F&F started originally as a semi-serious fun cars & babes franchise. The action has gotten more and more ridiculous to the point of superhero unreality. Tyrese Gibson is doing a meta commentary while questioning his invulnerability. It's fitting that he and Ludacris are the ones going into space. Tyrese is the silly comic relief but it's getting out of hand. This series is being so ridiculous that it is almost critic-proof in that respect. No nay-sayer is going to win an argument by pointing out the outlandish non-sensical action scenes. We already know and it's why we watch the movies. It is what it is at this point.
87,"Greetings from Lithuania.While with 9 th film in the series they threw all physics and realism out of the window, i would lie if i would say if it wasn't entertaining flick for a boring evening. It was well paced by a veteran of a series Justin Lin - at running time 2 h 20 min i barely was bored. I liked the craftsmanship of this movie - you can clearly see that a lot of money were spent into making this one. The last action sequence alone was made in a daylight - those cost way more so i have to give a credit for it. Sure, the story is your typical stuff about saving the world, i just kinda went with it and had fun.Overall, definitely not a worst in a series (4th i think is still the weakest one), but far from the best (i love 3rd and 5th parts), F9 is big, very dumb but skilfully made movie that is entertaining. Sometimes that is all you want to see."
